字段,dtype,缺失数,缺失率,唯一值数,样例值
desc,string,199989,0.9999,11,"We knew that using our credit cards to finance an adoption would squeeze us, but then medical and other unexpected expen"
dti_joint,float64,199491,0.9975,449,13.85 | 16.4 | 15.4 | 25.44 | 22.76
verification_status_joint,string,199489,0.9974,1,Not Verified
annual_inc_joint,float64,199489,0.9974,308,71000.0 | 100000.0 | 77000.0 | 113314.0 | 117000.0
orig_projected_additional_accrued_interest,float64,198873,0.9944,1100,442.41 | 641.94 | 108.21 | 503.16 | 142.44
payment_plan_start_date,string,198591,0.993,26,Oct-2017 | Sep-2017 | Aug-2017 | Sep-2018 | Dec-2017
hardship_type,string,198591,0.993,1,INTEREST ONLY-3 MONTHS DEFERRAL
hardship_reason,string,198591,0.993,9,NATURAL_DISASTER | DIVORCE | EXCESSIVE_OBLIGATIONS | DISABILITY | UNEMPLOYMENT
hardship_status,string,198591,0.993,3,BROKEN | COMPLETED | ACTIVE
deferral_term,float64,198591,0.993,1,3.0
hardship_amount,float64,198591,0.993,1365,47.01 | 147.47 | 213.98 | 36.07 | 167.72
hardship_start_date,string,198591,0.993,25,Sep-2017 | Jul-2017 | Sep-2018 | Dec-2017 | Aug-2017
hardship_end_date,string,198591,0.993,27,Dec-2017 | Nov-2017 | Oct-2017 | Dec-2018 | Feb-2018
hardship_length,float64,198591,0.993,1,3.0
hardship_dpd,float64,198591,0.993,31,26.0 | 0.0 | 18.0 | 16.0 | 27.0
hardship_loan_status,string,198591,0.993,4,Late (16-30 days) | Current | Late (31-120 days) | In Grace Period
hardship_payoff_balance_amount,float64,198591,0.993,1409,3058.14 | 12014.81 | 18761.48 | 4801.21 | 18804.27
hardship_last_payment_amount,float64,198591,0.993,1350,61.23 | 6.27 | 275.35 | 55.51 | 756.87
debt_settlement_flag_date,string,194160,0.9708,36,Nov-2017 | May-2018 | Feb-2019 | Nov-2018 | Jul-2018
settlement_status,string,194160,0.9708,3,COMPLETE | BROKEN | ACTIVE
settlement_date,string,194160,0.9708,38,Sep-2017 | Nov-2017 | Jan-2018 | May-2018 | Jun-2018
settlement_amount,float64,194160,0.9708,5174,9915.0 | 2761.0 | 4382.0 | 3513.0 | 13403.0
settlement_percentage,float64,194160,0.9708,465,55.0 | 50.01 | 44.99 | 45.01 | 45.0
settlement_term,float64,194160,0.9708,31,1.0 | 10.0 | 12.0 | 16.0 | 18.0
il_util,float64,181383,0.9069,160,36.0 | 73.0 | 70.0 | 84.0 | 99.0
mths_since_rcnt_il,float64,179190,0.896,201,21.0 | 19.0 | 23.0 | 14.0 | 338.0
open_act_il,float64,178628,0.8931,35,2.0 | 1.0 | 3.0 | 5.0 | 7.0
inq_fi,float64,178628,0.8931,18,3.0 | 0.0 | 2.0 | 1.0 | 5.0
inq_last_12m,float64,178628,0.8931,28,4.0 | 6.0 | 1.0 | 0.0 | 3.0
all_util,float64,178628,0.8931,139,34.0 | 29.0 | 65.0 | 45.0 | 78.0
max_bal_bc,float64,178628,0.8931,10707,722.0 | 6472.0 | 2081.0 | 6987.0 | 9702.0
total_bal_il,float64,178628,0.8931,17030,4981.0 | 18005.0 | 10827.0 | 12609.0 | 73839.0
open_rv_24m,float64,178628,0.8931,28,3.0 | 2.0 | 1.0 | 7.0 | 0.0
open_rv_12m,float64,178628,0.8931,18,3.0 | 2.0 | 0.0 | 1.0 | 4.0
open_acc_6m,float64,178628,0.8931,13,2.0 | 1.0 | 0.0 | 3.0 | 6.0
total_cu_tl,float64,178628,0.8931,33,1.0 | 0.0 | 5.0 | 2.0 | 3.0
open_il_12m,float64,178628,0.8931,12,0.0 | 2.0 | 1.0 | 3.0 | 4.0
open_il_24m,float64,178628,0.8931,17,1.0 | 4.0 | 3.0 | 0.0 | 2.0
next_pymnt_d,string,176082,0.8804,5,Apr-2019 | Mar-2019 | Dec-2018 | Sep-2018 | May-2019
mths_since_last_record,float64,164863,0.8243,121,106.0 | 75.0 | 30.0 | 2.0 | 66.0
mths_since_recent_bc_dlq,float64,149198,0.746,137,69.0 | 12.0 | 48.0 | 30.0 | 76.0
mths_since_last_major_derog,float64,141717,0.7086,142,30.0 | 3.0 | 75.0 | 54.0 | 33.0
mths_since_recent_revol_delinq,float64,128419,0.6421,136,69.0 | 6.0 | 12.0 | 42.0 | 29.0
mths_since_last_delinq,float64,97162,0.4858,130,30.0 | 6.0 | 12.0 | 49.0 | 3.0
mths_since_recent_inq,float64,21750,0.1087,26,4.0 | 0.0 | 10.0 | 1.0 | 8.0
emp_title,string,12130,0.0607,66136,leadman | Engineer | truck driver | Information Systems Officer | Contract Specialist
emp_length,string,12103,0.0605,11,10+ years | 3 years | 4 years | 6 years | 1 year
num_tl_120dpd_2m,float64,11193,0.056,3,0.0 | 1.0 | 2.0
mo_sin_old_il_acct,float64,5741,0.0287,435,148.0 | 113.0 | 125.0 | 36.0 | 128.0
percent_bc_gt_75,float64,2007,0.01,169,0.0 | 7.7 | 50.0 | 60.0 | 100.0
bc_util,float64,1972,0.0099,1233,37.2 | 27.1 | 55.9 | 12.1 | 77.5
bc_open_to_buy,float64,1844,0.0092,39431,1506.0 | 57830.0 | 2737.0 | 54962.0 | 4567.0
mths_since_recent_bc,float64,1781,0.0089,385,4.0 | 2.0 | 101.0 | 36.0 | 12.0
last_pymnt_d,string,148,0.0007,45,Jan-2019 | Jun-2016 | Jun-2017 | Feb-2019 | Jul-2016
title,string,132,0.0007,14,Debt consolidation | Business | Major purchase | Credit card refinancing | Home improvement
revol_util,float64,75,0.0004,1156,29.7 | 19.2 | 56.2 | 11.6 | 64.5
num_tl_op_past_12m,float64,0,0.0,27,3.0 | 2.0 | 0.0 | 1.0 | 4.0
num_tl_90g_dpd_24m,float64,0,0.0,18,0.0 | 1.0 | 2.0 | 4.0 | 12.0
num_tl_30dpd,float64,0,0.0,5,0.0 | 1.0 | 2.0 | 4.0 | 3.0
num_sats,float64,0,0.0,65,7.0 | 22.0 | 6.0 | 13.0 | 12.0
num_rev_tl_bal_gt_0,float64,0,0.0,41,4.0 | 5.0 | 3.0 | 6.0 | 2.0
pct_tl_nvr_dlq,float64,0,0.0,497,76.9 | 97.4 | 100.0 | 96.6 | 96.3
num_rev_accts,float64,1,0.0,85,9.0 | 27.0 | 7.0 | 13.0 | 19.0
num_op_rev_tl,float64,0,0.0,55,4.0 | 20.0 | 10.0 | 7.0 | 9.0
num_il_tl,float64,0,0.0,93,3.0 | 6.0 | 2.0 | 10.0 | 7.0
num_bc_tl,float64,0,0.0,53,5.0 | 17.0 | 4.0 | 10.0 | 9.0
earliest_cr_line,string,0,0.0,645,Aug-2003 | Dec-1999 | Aug-2000 | Sep-2008 | Jun-1998
tax_liens,float64,0,0.0,22,0.0 | 2.0 | 1.0 | 3.0 | 5.0
pub_rec_bankruptcies,float64,0,0.0,10,0.0 | 1.0 | 2.0 | 3.0 | 8.0
num_actv_rev_tl,float64,0,0.0,44,4.0 | 5.0 | 3.0 | 6.0 | 2.0
funded_amnt,float64,0,0.0,1358,3600.0 | 24700.0 | 20000.0 | 35000.0 | 10400.0
funded_amnt_inv,float64,0,0.0,1364,3600.0 | 24700.0 | 20000.0 | 35000.0 | 10400.0
term,string,0,0.0,2, 36 months |  60 months
int_rate,float64,0,0.0,81,13.99 | 11.99 | 10.78 | 14.85 | 22.45
installment,float64,0,0.0,26194,123.03 | 820.28 | 432.66 | 829.9 | 289.91
debt_settlement_flag,string,0,0.0,2,N | Y
disbursement_method,string,0,0.0,1,Cash
grade,string,0,0.0,7,C | B | F | A | E
sub_grade,string,0,0.0,35,C4 | C1 | B4 | C5 | F1
home_ownership,string,0,0.0,4,MORTGAGE | RENT | OWN | ANY
