issue_month,offline_cnt,realtime_cnt,cnt_diff,offline_sum,realtime_sum,sum_diff,status
2007-06,24,24,0,91850.00,91850.00,0.00,OK
2007-07,63,63,0,332100.00,332100.00,0.00,OK
2007-08,74,74,0,488600.00,488600.00,0.00,OK
2007-09,53,53,0,372950.00,372950.00,0.00,OK
2007-10,105,105,0,682875.00,682875.00,0.00,OK
2007-11,112,112,0,995950.00,995950.00,0.00,OK
2007-12,172,172,0,1827225.00,1827225.00,0.00,OK
2008-01,305,305,0,2902250.00,2902250.00,0.00,OK
2008-02,306,306,0,2951225.00,2951225.00,0.00,OK
2008-03,402,402,0,4150050.00,4150050.00,0.00,OK
2008-04,259,259,0,1811025.00,1811025.00,0.00,OK
2008-05,115,115,0,582000.00,582000.00,0.00,OK
2008-06,124,124,0,654975.00,654975.00,0.00,OK
2008-07,141,141,0,809250.00,809250.00,0.00,OK
2008-08,100,100,0,468450.00,468450.00,0.00,OK
2008-09,57,57,0,270950.00,270950.00,0.00,OK
2008-10,122,122,0,945400.00,945400.00,0.00,OK
2008-11,209,209,0,2008675.00,2008675.00,0.00,OK
2008-12,253,253,0,2420775.00,2420775.00,0.00,OK
2009-01,269,269,0,2469700.00,2469700.00,0.00,OK
2009-02,302,302,0,2708950.00,2708950.00,0.00,OK
2009-03,324,324,0,3061300.00,3061300.00,0.00,OK
2009-04,333,333,0,3071350.00,3071350.00,0.00,OK
2009-05,359,359,0,3351250.00,3351250.00,0.00,OK
2009-06,406,406,0,3591925.00,3591925.00,0.00,OK
2009-07,411,411,0,3876125.00,3876125.00,0.00,OK
2009-08,446,446,0,4316075.00,4316075.00,0.00,OK
2009-09,507,507,0,5103275.00,5103275.00,0.00,OK
2009-10,604,604,0,6289450.00,6289450.00,0.00,OK
2009-11,662,662,0,6848875.00,6848875.00,0.00,OK
2009-12,658,658,0,7126475.00,7126475.00,0.00,OK
2010-01,662,662,0,7385950.00,7385950.00,0.00,OK
2010-02,682,682,0,7456975.00,7456975.00,0.00,OK
2010-03,828,828,0,8664750.00,8664750.00,0.00,OK
2010-04,912,912,0,9510575.00,9510575.00,0.00,OK
2010-05,989,989,0,10044250.00,10044250.00,0.00,OK
2010-06,1105,1105,0,10038975.00,10038975.00,0.00,OK
2010-07,1204,1204,0,11517600.00,11517600.00,0.00,OK
2010-08,1175,1175,0,12021775.00,12021775.00,0.00,OK
2010-09,1189,1189,0,12039675.00,12039675.00,0.00,OK
2010-10,1232,1232,0,12645175.00,12645175.00,0.00,OK
2010-11,1224,1224,0,11640050.00,11640050.00,0.00,OK
2010-12,1335,1335,0,13385425.00,13385425.00,0.00,OK
2011-01,1380,1380,0,14817775.00,14817775.00,0.00,OK
2011-02,1298,1298,0,14601275.00,14601275.00,0.00,OK
2011-03,1448,1448,0,16529850.00,16529850.00,0.00,OK
2011-04,1563,1563,0,17520000.00,17520000.00,0.00,OK
2011-05,1704,1704,0,18531675.00,18531675.00,0.00,OK
2011-06,1835,1835,0,20012025.00,20012025.00,0.00,OK
2011-07,1875,1875,0,20565600.00,20565600.00,0.00,OK
2011-08,1934,1934,0,23017875.00,23017875.00,0.00,OK
2011-09,2067,2067,0,24945400.00,24945400.00,0.00,OK
2011-10,2118,2118,0,27482550.00,27482550.00,0.00,OK
2011-11,2232,2232,0,28332600.00,28332600.00,0.00,OK
2011-12,2267,2267,0,31007025.00,31007025.00,0.00,OK
2012-01,2602,2602,0,34000575.00,34000575.00,0.00,OK
2012-02,2560,2560,0,36058175.00,36058175.00,0.00,OK
2012-03,2914,2914,0,39536300.00,39536300.00,0.00,OK
2012-04,3230,3230,0,42051125.00,42051125.00,0.00,OK
2012-05,3400,3400,0,45090825.00,45090825.00,0.00,OK
2012-06,3817,3817,0,50211950.00,50211950.00,0.00,OK
2012-07,4627,4627,0,60067825.00,60067825.00,0.00,OK
2012-08,5419,5419,0,70078650.00,70078650.00,0.00,OK
2012-09,6087,6087,0,77027750.00,77027750.00,0.00,OK
2012-10,6263,6263,0,82032650.00,82032650.00,0.00,OK
2012-11,6382,6382,0,87696350.00,87696350.00,0.00,OK
2012-12,6066,6066,0,94090450.00,94090450.00,0.00,OK
2013-01,6872,6872,0,105074375.00,105074375.00,0.00,OK
2013-02,7561,7561,0,120171375.00,120171375.00,0.00,OK
2013-03,8273,8273,0,127639650.00,127639650.00,0.00,OK
2013-04,9419,9419,0,140125775.00,140125775.00,0.00,OK
2013-05,10350,10350,0,148036475.00,148036475.00,0.00,OK
2013-06,10899,10899,0,158063125.00,158063125.00,0.00,OK
2013-07,11910,11910,0,170776825.00,170776825.00,0.00,OK
2013-08,12674,12674,0,180032675.00,180032675.00,0.00,OK
2013-09,12987,12987,0,187909500.00,187909500.00,0.00,OK
